,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
12495,1361,36.7591334,5.6414834,No,No,No,Cereals
12496,1371,36.7679571,5.6399238,No,No,No,Cereals
12497,1360,36.7572422,5.6497595,No,No,No,Cereals
12498,851,36.9876963,5.8130465,No,No,No,Cereals
12499,865,36.9802142,5.8088395,No,No,No,Cereals
12501,866,36.980796,5.8010785,No,No,No,Oilcrops
12502,1824,37.3330122,5.5082403,No,No,No,Cereals
12503,1790,37.3456707,5.5005625,No,No,No,Cereals
12504,1768,37.3343083,5.495714,No,No,No,Cereals
12505,1733,37.3303201,5.4946511,No,No,No,Cereals
12507,1843,37.2043491,5.9012405,No,No,No,Cereals
12508,1107,37.4860085,5.8368457,Yes,Yes,Yes,Fruits
12509,1115,37.4930425,5.8519579,Yes,Yes,Yes,"Other crops (e.g., rubber)"
12511,1110,37.4788329,5.850731,No,No,No,Cereals
12512,1175,37.6844479,6.1696576,Yes,No,No,Fruits
12513,1177,37.6896609,6.1733426,Yes,No,No,Fruits
12514,1177,37.6979435,6.1725418,No,No,No,Cereals
12515,1185,37.6937891,6.1764396,No,No,No,Fruits
12516,2749,37.3858121,6.0777954,No,No,No,Cereals
12517,2777,37.3829944,6.0746158,No,No,No,Roots and tubers
12518,2832,37.3815203,6.086422,No,No,No,Cereals
12519,2820,37.380254,6.0795359,No,No,No,Cereals
12520,1640,38.1729287,5.1996484,No,No,No,Cereals
12521,1610,38.1809941,5.2038346,No,No,No,Cereals
12522,1625,38.1824398,5.2029925,No,No,No,Cereals
12523,1644,38.1841502,5.198265,No,No,No,Cereals
12530,1363,37.9402512,4.892598,No,No,No,Cereals
12545,1800,37.8614775,5.4121749,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12546,1803,37.8612113,5.4138657,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
12547,1867,37.8654212,5.4137865,No,No,No,Cereals
12548,2315,39.4281288,8.1446867,No,No,No,Cereals
12552,2679,39.51437,8.1102645,No,No,No,Cereals
12553,2669,39.5142384,8.1103152,No,No,No,Cereals
12554,2756,39.5094518,8.0990078,No,No,No,Cereals
12555,2409,39.7831296,7.6682046,No,No,No,Cereals
12557,2392,39.7785489,7.6750578,No,No,No,Cereals
12558,2394,39.7792036,7.6760751,No,No,No,Cereals
12559,2327,39.423339,8.149606,No,No,No,Cereals
12560,2440,40.0942397,7.7764705,No,Yes,No,Cereals
12561,2445,40.0937049,7.7805428,No,No,No,Cereals
12562,2477,40.0910406,7.7859466,No,No,No,Cereals
12563,2471,40.0874055,7.7781909,No,No,No,Cereals
12568,2361,40.0016573,7.2347249,No,No,No,Cereals
12569,2363,40.0079873,7.2319883,No,No,No,Cereals
12570,2357,40.0019775,7.2309698,No,No,No,Cereals
